重庆市各区县/2023,人口/万,移动电话普及率,互联网用户/万,电信业务总量/亿元,数字惠普金融指数/2022,研发投入/亿元/2022,互联网普及率,得分
涪陵区,111.6,1.28,133.92,8.16,115.18,34.72,1.12,19.904476
开州区,164.96,0.804,123.96,7.97,113.2,3.1,0.751454898,4.916536576
梁平区,90.55,0.769,75.15,4.58,114.52,4.74,0.829928216,4.269577755
万州区,169.92,1.1,241.83,13.42,116.01,10.76,1.423199153,10.87362033
江津区,145.37,1.19,68.4,11.86,116.94,28.03,0.470523492,18.25532354
合川区,124.53,1.22,50.97,7.99,115.2,5.86,0.409298964,6.20524901
黔江区,48.73,1.26,41.73,4.45,113.99,1.27,0.856351324,2.601000565
永川区,114.89,1.32,53.3,10,117.42,24.57,0.463922012,15.85134522
南川区,57.24,0.985,47.9,4.5,113.83,7.15,0.836827393,5.375619983
北碚区,83.49,1.75,40.5,67.64,125.34,37.46,0.485088034,46.13477066
璧山区,75.6,1.21,31.38,5.29,121.14,26,0.415079365,14.5384399
长寿区,69.3,0.966,61.17,4.99,116.84,22.96,0.882683983,13.01614151
綦江区,101.13,1.02,74.03,7.1,114.06,14.52,0.732028083,9.923498443
潼南区,68.81,0.733,50.37,3.04,112.93,8.40 ,0.732015695,5.333061365
荣昌区,66.9,0.982,88.8,5.05,117.81,17.89,1.32735426,10.69780182
武隆区,35.67,1.01,48.71,3.74,113.59,0.98,1.365573311,2.203222878
巫山县,46.25,0.858,18.2,1.83,112.73,0.58,0.393513514,1.123721676
城口县,19.75,0.857,7.94,1.94,113.1,0.34,0.402025316,1.057906203
丰都县,55.74,0.8704,36.23,5.45,112.74,1.42,0.64998206,3.061608439
云阳县,92.9,0.7403,61.78,8.33,112.51,2.62,0.665016146,4.832567405
垫江县,65.07,0.7332,27.88,3.99,114.02,2.65,0.428461657,3.003376164
忠县,72.1,0.7513,23.71,4.07,111.71,3.83,0.328848821,3.582990847
巫溪县,38.87,0.3130 ,11.25,1.3,112.1,0.33,0.289426293,0.758090087
酉阳县,60.73,0.7393,23.26,4.79,111.86,0.29,0.383006751,2.225972587
石柱县,38.9,0.8486,61.75,3,117.02,1.86,1.587403599,2.321166113
彭水县,53.06,0.8361,35.28,4.3,111.93,0.71,0.664907652,2.245015966
秀山县,49.62,0.7951,21.16,1.31,114.05,1.45,0.426440951,1.315463363
重庆市2023,3401.43,1.34,5395.1,397.98,413.6,782.7,1.586127011,535.281513
重庆市2022,3413.8,1.23,5108.8,381.74,382.3,686.6,1.496514148,483.2763567
重庆市2021,3414.66,1.17,4824.73,368.33,362.23,603.8,1.412945945,438.7150723
重庆市2020,3412.71,1.16,4541.27,327.69,329.39,526.8,1.330693203,385.4422483
重庆市2019,3416.29,1.18,4389.05,309,311.03,335.9,1.284741635,287.8623785
重庆市2018,3403.64,1.18,4317.82,183.06,301.53,410.2,1.268588922,269.8852732
重庆市2017,3389.82,1.07,3698.5,72.59,276.31,364.6,1.091060882,202.0320843
重庆市2016,3392.11,0.955,3255.13,41.08,233.89,302.2,0.959618055,159.4465148
重庆市2015,3371.84,0.925,2984.73,24.63,221.84,247,0.885193248,126.5837298
